packet_size,flow_duration,request_frequency,token_entropy,geo_velocity,trust_score,label
576.0,0.632842764901378,2,7.916128381403888,12.643873325439747,75.0,0
1234.1511750005106,0.0004570534316898,4,7.611605348433332,29.147576456794017,88.0,1
543.0,2.3975398245351367,6,7.707894097900039,8.280412289668215,99.57605383701328,1
554.0,1.4177477127259617,6,7.53256137944664,3.3188028860709773,81.0,0
225.0,4.951976878256732,7,7.81535211316826,1.267413012805268,68.0,0
1859.812941021383,2.9431791737843263,5,7.399797634047295,0.5773061922450609,88.0,1
709.0,1.0199379435271114,3,7.45586023914158,9.81361039149014,84.0,0
207.0,1.408477560615344,7,7.086567028267224,20.33178088885119,73.0,0
634.0,2.351750684235532,12,7.356966870949337,11.540773444899877,79.0,0
1438.5547308920393,0.6515739991341005,4,7.197856775953772,18.356776940676863,70.0,1
881.905497616257,0.590804607337692,3,6.892062296941075,3.0285286962865445,72.0,1
342.0,0.7031212741806976,2,7.444323253126387,8.957854751229636,72.0,0
714.0,3.3974822965864115,5,7.686493199627121,10.86896074190818,89.0,0
1261.0838347282508,4.805959502877891,5,7.113666575269693,9.842569292016714,63.0,1
416.0,1.6026920631298571,29,7.405032424775418,3.240188061510008,66.0,1
291.0,2.098745573736289,3,7.34251943729484,22.439115425307588,75.0,0
575.0,1.8438709476904709,8,7.628190212753685,6.246608855498312,69.0,0
1606.4060239087296,2.368296049735622,7,7.547697757738754,0.3909198513259518,96.0,1
637.0,0.0368371485573701,4,7.786961566644384,1.13910639930895,81.0,0
456.0,7.083469967984263,6,7.463656343621444,8.208104359388525,79.0,0
657.0,8.43574316525902,6,7.142829037904986,3.915519925703826,65.0,0
403.0,1.2155909215868848,4,7.89936432905689,2.9069723133959355,82.0,0
456.0,0.9886598041293132,3,7.587222471243316,2.333191266613584,85.0,0
759.0,2.8463493372390363,2,7.394302655743609,4.422104462599725,98.0,0
638.0,1.702566600472006,28,7.545508510922639,1.687166669962831,88.0,1
345.0,0.3967161484275658,4,7.224250776523012,7.857675045099044,77.0,0
682.0,0.3542569170860357,0,7.771452412507039,10.775623619104222,83.57605383701329,1
561.0,0.9021494077934836,4,7.44917179111579,3.47829392250792,81.0,0
383.0,1.0940006220244205,1,7.607536958575554,12.92017162007475,60.0,0
536.0,0.7924318402927605,7,7.22495659340443,12.14221147844471,82.0,0
426.0,1.524248205264606,8,7.501695178219076,4.039677039956368,81.0,0
529.0,3.2738922130096006,8,7.5658470784674625,8.610211135859576,65.0,0
1738.6251078286682,0.3865844888015673,4,7.595941525175295,31.39327753391686,72.0,1
237.0,1.533643631874018,4,7.569893946767213,9.102390643818334,77.0,0
1018.7919914708152,0.7255036285884615,4,7.423767825130153,1.0983087857056888,86.0,1
529.0,0.8700513537246015,6,7.554672461575177,17.473226543835636,84.57605383701329,1
491.0,1.97970397128155,4,7.85349149496562,4.457857206167681,87.0,0
506.0,1.26780153175359,23,7.500200576355069,18.664980904878657,70.0,1
574.0,2.368296049735622,7,7.547697757738754,0.3909198513259518,96.0,0
281.0,1.343672813212328,3,7.821264950231296,0.6428330553171003,68.0,0
529.0,1.7103202921397715,3,7.283935123017668,10.737298825604974,82.0,0
1712.8985597207452,2.1134914878540862,7,7.569423706721047,9.106336411467614,78.0,1
379.0,0.195664588975949,7,7.254235052649999,7.989596726166741,100.0,1
724.0,2.420704504729566,6,7.663025291970929,1.2347839575823627,78.0,0
486.0,1.7466315435079685,32,7.511438251538453,7.319714647135765,76.0,1
660.0,1.9735713987400287,6,7.320346416031387,3.975612604027035,59.0,0
226.0,2.347146976429294,7,7.559940562947284,11.721678660104727,70.0,0
442.0,0.6094771574371725,7,7.61041641690748,3.005396392310593,88.0,0
529.0,1.9162833314434888,3,7.616020922159021,47.09482648671987,89.0,0
409.0,1.216474512750905,5,7.547308652171487,3.4338400496781905,83.0,0
1473.459867706987,0.4770927001106022,5,7.55739834614709,3.2928238235077414,94.0,1
600.0,1.023207812450469,4,7.5340804089564255,7.209020358312551,88.0,0
